<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,60,20191211,180000,247.0600000,247.5700000,246.8500000,247.3300000,4351510
GAZP,60,20191211,190000,247.3300000,247.9000000,247.0700000,247.3400000,5977680
GAZP,60,20191212,110000,247.6400000,249.1500000,247.3500000,248.7000000,6008400
GAZP,60,20191212,120000,248.7000000,252.9400000,248.6500000,252.8000000,13474380
GAZP,60,20191212,130000,252.7400000,254.6000000,251.6200000,252.8000000,11434030
GAZP,60,20191212,140000,252.7700000,253.5000000,251.9500000,253.2000000,3921550
GAZP,60,20191212,150000,253.2400000,254.6600000,250.1100000,253.9500000,16556310
GAZP,60,20191212,160000,253.9400000,253.9900000,249.6700000,250.1700000,9782840
GAZP,60,20191212,170000,250.2100000,250.7100000,249.2100000,250.4300000,5009040
GAZP,60,20191212,180000,250.4300000,251.4000000,249.7000000,251.3400000,4367270
GAZP,60,20191212,190000,251.3400000,251.8800000,250.4800000,250.4800000,8124170
GAZP,60,20191213,110000,251.1100000,252.4800000,250.1100000,251.7900000,8850000
GAZP,60,20191213,120000,251.8000000,252.1300000,250.6800000,250.8400000,3363660
GAZP,60,20191213,130000,250.8900000,251.7200000,250.3200000,250.8800000,3791420
GAZP,60,20191213,140000,250.8900000,251.2400000,249.8500000,249.8700000,3506390
GAZP,60,20191213,150000,249.8700000,250.3000000,249.0100000,249.7100000,4766570
GAZP,60,20191213,160000,249.7500000,250.5200000,249.3800000,249.6000000,2241690
GAZP,60,20191213,170000,249.6400000,249.9800000,249.2200000,249.8000000,1851640
GAZP,60,20191213,180000,249.8100000,250.3100000,248.8000000,249.1200000,7616410
GAZP,60,20191213,190000,249.1200000,250.0000000,249.0000000,249.5000000,5764160
GAZP,60,20191216,110000,249.9000000,250.6300000,249.3000000,249.9300000,3625160
GAZP,60,20191216,120000,249.9300000,250.4100000,249.2000000,250.2700000,3938610
GAZP,60,20191216,130000,250.3100000,251.4500000,250.1800000,251.0700000,4476320
GAZP,60,20191216,140000,251.0700000,251.9100000,250.5200000,251.7200000,4099540
GAZP,60,20191216,150000,251.7400000,252.2200000,251.1100000,251.6800000,3448280
GAZP,60,20191216,160000,251.7100000,251.8800000,251.0100000,251.2400000,1641740
GAZP,60,20191216,170000,251.2200000,251.3800000,250.5400000,250.8800000,1735750
GAZP,60,20191216,180000,250.8800000,251.1900000,250.3100000,251.1700000,2930570
GAZP,60,20191216,190000,251.1900000,251.5000000,250.7800000,250.7800000,3699610
GAZP,60,20191217,110000,251.2400000,252.8000000,250.8000000,251.9200000,5677730
GAZP,60,20191217,120000,251.9700000,252.5500000,251.1100000,251.8000000,6202270
GAZP,60,20191217,130000,251.7700000,252.3200000,251.5300000,252.0000000,1793750
GAZP,60,20191217,140000,252.0200000,252.2000000,251.5300000,251.9100000,1622300
GAZP,60,20191217,150000,251.9100000,252.0000000,251.6800000,251.9400000,1428920
GAZP,60,20191217,160000,251.9400000,252.5500000,251.8400000,252.4400000,3143300
GAZP,60,20191217,170000,252.4400000,252.8600000,252.2500000,252.7000000,2114130
GAZP,60,20191217,180000,252.6700000,252.7400000,252.0300000,252.3500000,2768760
GAZP,60,20191217,190000,252.2600000,252.3900000,251.6400000,252.0500000,6878860
GAZP,60,20191218,110000,252.0000000,252.7100000,251.0000000,251.3200000,4721490
GAZP,60,20191218,120000,251.3400000,252.0900000,251.2900000,251.7200000,1999550
GAZP,60,20191218,130000,251.7100000,252.0200000,251.3000000,251.8900000,3101000
GAZP,60,20191218,140000,251.8900000,251.9600000,251.4000000,251.6900000,2506080
GAZP,60,20191218,150000,251.6900000,251.9000000,251.3000000,251.5700000,3360200
GAZP,60,20191218,160000,251.5700000,251.7500000,251.3700000,251.5400000,1461690
GAZP,60,20191218,170000,251.5400000,251.7300000,251.2000000,251.4400000,1997090
GAZP,60,20191218,180000,251.4500000,251.6800000,250.8500000,251.0200000,4462480
GAZP,60,20191218,190000,251.0200000,251.3900000,250.8700000,251.2900000,5527400
GAZP,60,20191219,110000,250.9500000,252.3000000,250.2700000,251.4800000,4813530
GAZP,60,20191219,120000,251.4500000,251.5600000,251.0500000,251.1700000,2251400
GAZP,60,20191219,130000,251.1700000,251.2900000,250.5800000,250.5900000,2371290
GAZP,60,20191219,140000,250.6000000,250.6900000,250.0100000,250.2300000,2673170
GAZP,60,20191219,150000,250.2300000,250.6400000,250.0000000,250.1400000,4854630
GAZP,60,20191219,160000,250.1400000,251.2700000,250.0900000,251.1000000,7801230
GAZP,60,20191219,170000,251.1000000,251.1000000,250.0000000,250.2100000,3258090
GAZP,60,20191219,180000,250.2200000,250.7700000,249.4000000,250.7300000,4710480
GAZP,60,20191219,190000,250.7300000,251.4000000,250.2300000,251.4000000,4618530
GAZP,60,20191220,110000,252.7100000,253.9200000,252.2200000,252.6600000,6462210
GAZP,60,20191220,120000,252.7100000,253.1800000,252.3200000,252.6100000,3125090
GAZP,60,20191220,130000,252.6300000,254.3300000,252.4800000,253.4000000,5298710
GAZP,60,20191220,140000,253.4000000,254.2200000,253.0300000,253.5500000,3584300
GAZP,60,20191220,150000,253.5100000,254.0900000,253.3500000,253.5600000,1810190
GAZP,60,20191220,160000,253.5600000,255.2900000,253.5000000,254.7700000,7064040
GAZP,60,20191220,170000,254.7700000,256.5800000,254.7000000,255.3700000,8916500
GAZP,60,20191220,180000,255.3700000,256.4900000,255.2200000,255.9800000,5123910
GAZP,60,20191220,190000,255.9800000,256.0900000,255.3300000,255.5000000,18728440
GAZP,60,20191223,110000,251.5000000,254.3100000,251.1100000,252.6200000,9419650
GAZP,60,20191223,120000,252.6100000,253.4000000,252.0000000,253.3200000,3589130
GAZP,60,20191223,130000,253.3200000,254.1000000,253.2700000,253.7400000,4467110
GAZP,60,20191223,140000,253.7800000,254.2000000,253.3500000,253.7200000,2724400
GAZP,60,20191223,150000,253.7000000,254.0000000,252.6800000,253.0100000,3131390
GAZP,60,20191223,160000,253.0100000,253.3800000,252.8100000,253.2200000,1804830
GAZP,60,20191223,170000,253.2200000,253.9500000,253.0200000,253.6900000,2759200
GAZP,60,20191223,180000,253.6900000,254.6800000,253.6600000,254.6300000,4318500
GAZP,60,20191223,190000,254.6400000,255.2000000,254.0700000,255.0000000,5432610
GAZP,60,20191224,110000,255.6000000,257.7100000,254.6400000,257.1500000,6078730
GAZP,60,20191224,120000,257.1400000,257.4900000,255.9000000,257.2300000,3813390
GAZP,60,20191224,130000,257.2700000,257.4700000,255.8100000,256.2400000,2820990
GAZP,60,20191224,140000,256.1600000,256.7700000,255.6100000,255.9100000,2133380
GAZP,60,20191224,150000,255.9200000,256.3500000,255.7400000,256.2400000,1026810
GAZP,60,20191224,160000,256.2400000,256.3700000,255.3300000,255.7700000,1937980
GAZP,60,20191224,170000,255.7800000,255.8200000,254.7000000,255.1200000,1966720
GAZP,60,20191224,180000,255.1000000,255.5000000,254.2600000,254.9800000,1453960
GAZP,60,20191224,190000,254.9200000,255.2500000,254.8100000,254.8700000,1519790
GAZP,60,20191225,110000,254.9000000,255.4900000,253.2100000,253.8000000,3976270
GAZP,60,20191225,120000,253.8300000,254.0700000,253.1300000,253.4100000,2391690
GAZP,60,20191225,130000,253.4100000,253.9200000,253.0200000,253.8000000,1377090
GAZP,60,20191225,140000,253.8900000,254.0000000,253.2700000,253.5300000,682330
GAZP,60,20191225,150000,253.5200000,253.7800000,253.2600000,253.5400000,530050
GAZP,60,20191225,160000,253.5400000,254.0000000,253.5000000,253.8300000,505210
GAZP,60,20191225,170000,253.8300000,253.9000000,253.1500000,253.1500000,794160
GAZP,60,20191225,180000,253.1600000,253.5000000,253.1300000,253.4100000,597840
GAZP,60,20191225,190000,253.3700000,253.6900000,253.2200000,253.2500000,1450820
GAZP,60,20191226,110000,253.4500000,253.5000000,252.5000000,253.0600000,2010980
GAZP,60,20191226,120000,253.0700000,253.7300000,252.7200000,253.6000000,1214320
GAZP,60,20191226,130000,253.6000000,253.7000000,253.2200000,253.5300000,670390
GAZP,60,20191226,140000,253.5100000,253.8600000,253.2500000,253.6500000,489590
GAZP,60,20191226,150000,253.6500000,254.0000000,253.5400000,253.6500000,592690
GAZP,60,20191226,160000,253.6500000,253.8900000,253.3200000,253.6600000,559100
GAZP,60,20191226,170000,253.6100000,253.7400000,252.6900000,253.4900000,1687860
GAZP,60,20191226,180000,253.4900000,254.2400000,253.3200000,254.1100000,2110810
GAZP,60,20191226,190000,254.1000000,254.1500000,253.7500000,254.1000000,1539840
GAZP,60,20191227,110000,254.3300000,255.2700000,254.0000000,254.9500000,2958170
GAZP,60,20191227,120000,254.9300000,256.2800000,254.9300000,255.9700000,4505950
GAZP,60,20191227,130000,256.0000000,256.3900000,255.5600000,256.3000000,1288890
GAZP,60,20191227,140000,256.3000000,256.7000000,255.9600000,256.3100000,2343900
GAZP,60,20191227,150000,256.2900000,256.4400000,255.9000000,256.1000000,1500580
GAZP,60,20191227,160000,256.0700000,256.2400000,255.7100000,256.1700000,1495210
GAZP,60,20191227,170000,256.1600000,257.2400000,256.1000000,256.6800000,3974400
GAZP,60,20191227,180000,256.7000000,257.3900000,256.5900000,256.8800000,2478680
GAZP,60,20191227,190000,256.8800000,257.4900000,256.8000000,257.1100000,3654160
GAZP,60,20191230,110000,257.0900000,257.4400000,255.3600000,255.7200000,2968980
GAZP,60,20191230,120000,255.7300000,256.1000000,254.7100000,255.9500000,2876280
GAZP,60,20191230,130000,255.9800000,257.1500000,255.9000000,256.4600000,1572820
GAZP,60,20191230,140000,256.4500000,257.1100000,256.1400000,256.4100000,1355210
GAZP,60,20191230,150000,256.4700000,256.9900000,256.0100000,256.8200000,1023420
GAZP,60,20191230,160000,256.8200000,257.3000000,256.5100000,256.6400000,1318940
GAZP,60,20191230,170000,256.5900000,258.2400000,256.5900000,257.9800000,3385590
GAZP,60,20191230,180000,257.9400000,258.3000000,256.6000000,256.7700000,3144600
GAZP,60,20191230,190000,256.7200000,257.2000000,256.0500000,256.4000000,5828160
GAZP,60,20200103,110000,259.1000000,260.2700000,258.5200000,259.3600000,3897800
GAZP,60,20200103,120000,259.3600000,261.8600000,259.0400000,261.7500000,8670090
GAZP,60,20200103,130000,261.8000000,261.9000000,260.9100000,261.5000000,3347900
